iter	Passed	Remaining
403	10043	9844
404	10068	9819
405	10092	9793
406	10116	9768
407	10141	9743
408	10165	9717
409	10189	9692
410	10213	9666
411	10239	9643
412	10263	9616
413	10288	9592
414	10313	9567
415	10337	9542
416	10362	9517
417	10389	9494
418	10412	9468
419	10438	9444
420	10463	9419
421	10488	9395
422	10512	9369
423	10537	9344
424	10559	9317
425	10581	9290
426	10608	9266
427	10631	9240
428	10656	9215
429	10680	9189
430	10703	9163
431	10727	9138
432	10751	9112
433	10776	9087
434	10802	9064
435	10827	9039
436	10855	9017
437	10878	8990
438	10901	8964
439	10923	8937
440	10948	8912
441	10972	8887
442	10996	8861
443	11023	8838
444	11046	8812
445	11072	8788
446	11095	8762
447	11118	8736
448	11142	8710
449	11165	8684
450	11190	8659
451	11216	8635
452	11241	8610
453	11267	8587
454	11290	8561
455	11316	8537
456	11340	8511
457	11367	8488
458	11390	8462
459	11413	8436
460	11439	8412
461	11464	8387
462	11488	8362
463	11512	8336
464	11539	8313
465	11564	8288
466	11588	8263
467	11613	8238
468	11639	8214
469	11668	8192
470	11691	8166
471	11715	8141
472	11739	8115
473	11764	8090
474	11788	8066
475	11814	8041
476	11838	8016
477	11862	7991
478	11886	7965
479	11911	7941
480	11936	7916
481	11963	7892
482	11986	7867
483	12010	7841
484	12034	7816
485	12058	7791
486	12080	7764
487	12103	7738
488	12128	7713
489	12153	7688
490	12177	7663
491	12201	7638
492	12224	7612
493	12248	7587
494	12271	7560
495	12296	7536
496	12321	7511
497	12347	7487
498	12372	7462
499	12396	7437
500	12419	7412
501	12444	7387
502	12466	7361
503	12490	7335
504	12516	7311
505	12539	7285
506	12567	7262
507	12590	7237
508	12614	7211
509	12640	7187
510	12665	7163
511	12689	7138
512	12715	7113
513	12738	7088
514	12766	7064
515	12792	7040
516	12817	7016
517	12842	6991
518	12865	6965
519	12889	6940
520	12912	6914
521	12936	6889
522	12958	6863
523	12983	6838
524	13008	6814
525	13031	6788
526	13058	6764
527	13081	6738
528	13105	6713
529	13127	6687
530	13152	6663
531	13176	6637
532	13201	6612
533	13225	6588
534	13249	6562
535	13275	6538
536	13297	6512
537	13322	6487
538	13348	6463
539	13375	6439
540	13401	6416
541	13426	6391
542	13450	6365
543	13473	6340
544	13498	6315
545	13522	6290
546	13548	6266
547	13573	6241
548	13597	6216
549	13621	6191
550	13644	6166
551	13671	6142
552	13696	6117
553	13721	6092
554	13743	6067
555	13767	6041
556	13792	6017
557	13816	5992
558	13841	5967
559	13863	5941
560	13888	5916
561	13913	5892
562	13936	5866
563	13962	5842
564	13988	5818
565	14010	5792
566	14034	5767
567	14057	5741
568	14080	5716
569	14104	5691
570	14130	5667
571	14157	5643
572	14181	5618
573	14205	5593
574	14229	5568
575	14255	5543
576	14280	5519
577	14304	5493
578	14328	5469
579	14352	5444
580	14378	5419
581	14405	5395
582	14429	5370
583	14453	5345
584	14475	5320
585	14499	5295
586	14524	5270
587	14549	5245
588	14573	5220
589	14597	5195
590	14621	5170
591	14645	5145
592	14670	5120
593	14694	5096
594	14717	5070
595	14741	5045
596	14766	5021
597	14791	4996
598	14817	4972
599	14842	4947
600	14866	4922
601	14891	4897
602	14916	4873
603	14941	4848
604	14967	4824
605	14992	4799
606	15017	4775
607	15041	4749
608	15066	4725
609	15090	4700
610	15114	4675
611	15138	4650
612	15161	4625
